"","source","lon","lat","z","Tg","PPFD","vpd","alpha","nhx","noy","ndep","nre","pft"
"1","Du",-72.83,-51.37,739,7.35587579532151,257.799207517574,0.646052182693768,0.943714838998317,0.056803391167992,0.0111511483494388,0.0679545395174309,0.81729748,"forest"
"2","Du",-72.73,-45.45,282,10.0510017934435,264.968749116328,0.462308062374306,0.986062709270965,0.0264432279295043,0.0163183703430389,0.0427615982725432,0.55045597,"forest"
"3","Du",-74.09,-42.62,84,12.5049022727906,329.745490438374,0.436096609319163,0.98147092475527,0.0194077205501105,0.0112032000171511,0.0306109205672615,0.59213761,"forest"
"4","Du",-73.93,-42.12,43,12.9052595602777,341.46408158007,0.446219730105163,0.975727540890467,0.0524084775855667,0.0199078842997551,0.0723163618853218,0.58674508,"forest"
"5","Du",-72.47,-41.87,597,11.6921824424408,333.93826482224,0.599213787984519,0.944152060338956,0.0965408306372793,0.0343453129263301,0.130886143563609,0.6465625,"forest"
"6","Du",-72.57,-41.15,261,13.0824472091389,358.686734289816,0.547004570217648,0.94089094536277,0.0965408306372793,0.0343453129263301,0.130886143563609,0.64207243,"forest"
"7","Du",-71.6,-41.1,1124,11.2786214048253,370.938018578387,0.777017170439617,0.899736496646621,0.0897295945569089,0.0334825182431623,0.123212112800071,0.6424,"forest"
"8","Du",-71.7,-40.93,1545,10.2422942952333,376.878786305557,0.856362260355838,0.8896246389064,0.101963165559267,0.038086681969856,0.140049847529123,0.7648,"forest"
"9","Du",-71.55,-40.8,1221,11.1539069756217,376.140698963118,0.80144166227239,0.896491316375275,0.101963165559267,0.038086681969856,0.140049847529123,0.61,"forest"
"10","Du",-71.1,-40.6,1770,9.65301279135477,381.143304166548,0.83826698328302,0.883155563709814,0.101963165559267,0.038086681969856,0.140049847529123,0.82752,"forest"
"11","Du",-71.39,-40.5,1095,11.9035714923849,387.59197895625,0.805789886037282,0.893915429229933,0.101963165559267,0.038086681969856,0.140049847529123,0.654335104,"forest"
"12","Du",-71.23,-40.5,1048,12.2565875802047,397.251099126149,0.834505925405467,0.88624845251072,0.101963165559267,0.038086681969856,0.140049847529123,0.59025,"forest"
"13","Du",-71.6,-40.1,1396,11.6723558268428,403.005197098793,0.892556821740052,0.879088639051567,0.101963165559267,0.038086681969856,0.140049847529123,0.7256,"forest"
"14","Du",-72.02,-40.05,1252,11.7066866128617,390.148099597515,0.826891973519007,0.894722702800449,0.111388736257428,0.0395150255215795,0.150903761779007,0.70657154,"forest"
"15","Du",-71.4,-39.6,1089,13.0599394971807,416.589873899068,0.884139984521044,0.87952287422505,0.0921317958518078,0.0480261772478882,0.140157973099696,0.59025,"forest"
"16","Du",176.9,-38.6,626,13.8211210703852,374.412955681981,0.535690041643388,0.994670453250015,0.150602719501445,0.0457431919088489,0.196345911410294,0.4198152344,"forest"
"17","Du",-73.22,-37.7,828,14.3544312580172,449.499392323949,0.842226605313779,0.882887896625573,0.0688755759283116,0.0546582837245966,0.123533859652908,0.524101252,"forest"
