lon,lat,site,references,z,year_start,year_end,Begin_year,End_year,pft,contributor,Nmin,PPFD_total,Tg,PPFD,vpd,fAPAR,mapped_age,CNrt,LMA,vcmax25,nhx,noy,ndep,ID
-68.42,44.85,Finzi_Forest66,"Gill and Finzi, 2016",172,1984,2013,1984,2013,Forest,Literatures,7.2,9775.495936182271,10.89096043211686,370.4396443836943,0.5636287094609731,0.5217285004820688,33.346800366182975,13.847257812028346,86.64518421465347,166.68998966038507,0.11277396862323467,0.5772444468278152,0.6900184154510498,NA
-68.42,44.85,Finzi_Forest66,"Gill and Finzi, 2016",172,1984,2013,1984,2013,Forest,Literatures,7,9775.495936182271,10.89096043211686,370.4396443836943,0.5636287094609731,0.5217285004820688,33.346800366182975,13.847257812028346,86.64518421465347,166.68998966038507,0.11277396862323467,0.5772444468278152,0.6900184154510498,NA
-54,5.67,Finzi_Forest5,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,19.55,15013.93691305112,29.360956292777985,470.1289150375882,1.4521016623936058,0.8609481906389762,76.40117825309228,13.963321953253255,93.38742330749,47.80100874560927,0.05612071617864645,0.06275650557990257,0.11887722175854903,NA
-54,5.67,Finzi_Forest5,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,21.37,15013.93691305112,29.360956292777985,470.1289150375882,1.4521016623936058,0.8609481906389762,76.40117825309228,13.963321953253255,93.38742330749,47.80100874560927,0.05612071617864645,0.06275650557990257,0.11887722175854903,NA
-54,5.67,Finzi_Forest5,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,24.79,15013.93691305112,29.360956292777985,470.1289150375882,1.4521016623936058,0.8609481906389762,76.40117825309228,13.963321953253255,93.38742330749,47.80100874560927,0.05612071617864645,0.06275650557990257,0.11887722175854903,NA
-54,5.67,Finzi_Forest5,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,28.95,15013.93691305112,29.360956292777985,470.1289150375882,1.4521016623936058,0.8609481906389762,76.40117825309228,13.963321953253255,93.38742330749,47.80100874560927,0.05612071617864645,0.06275650557990257,0.11887722175854903,NA
-54,5.67,Finzi_Forest5,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,32.82,15013.93691305112,29.360956292777985,470.1289150375882,1.4521016623936058,0.8609481906389762,76.40117825309228,13.963321953253255,93.38742330749,47.80100874560927,0.05612071617864645,0.06275650557990257,0.11887722175854903,NA
2.35,41.79,Finzi_Forest34,"Gill and Finzi, 2016",928,1984,2013,1984,2013,Forest,Literatures,8,13422.095868950255,14.224269465450142,423.6410824533167,0.7712280179773624,0.45102061485690903,47.33788402983864,9.962931870505566,80.04018700887201,140.03893987675312,0.18422362208366394,0.3209898460369844,0.5052134681206484,NA
8.32,53.38,Finzi_Forest77,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,4,8835.957586668996,11.701696498017776,279.92724283593935,0.4397639972355912,0.5181514664323797,33.94924422703221,14.949609412173197,88.35219674456334,109.45082800277358,0.5710946940458738,0.6133097616525797,1.1844044556984534,NA
8.32,53.38,Finzi_Forest77,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,3.8,8835.957586668996,11.701696498017776,279.92724283593935,0.4397639972355912,0.5181514664323797,33.94924422703221,14.949609412173197,88.35219674456334,109.45082800277358,0.5710946940458738,0.6133097616525797,1.1844044556984534,NA
8.32,53.38,Finzi_Forest77,"Gill and Finzi, 2016",0,1984,2013,1984,2013,Forest,Literatures,4.2,8835.957586668996,11.701696498017776,279.92724283593935,0.4397639972355912,0.5181514664323797,33.94924422703221,14.949609412173197,88.35219674456334,109.45082800277358,0.5710946940458738,0.6133097616525797,1.1844044556984534,NA
