lon,lat,site,references,z,year_start,year_end,Begin_year,End_year,NPP.foliage,NPP.stem,NPP.wood,NPP.fine,NPP.coarse,ANPP_2,BNPP_1,TNPP_1,age,LAI,observedfAPAR,GPP,soilCN,pft,contributor,CN_stem_final,CN_wood_final,CN_leaf_final,CN_root_final,lnf_obs_final,bnf_obs_final,wnf_obs_final,PPFD_total,Tg,PPFD,vpd,fAPAR,mapped_age,CNrt,LMA,vcmax25,nhx,noy,ndep,ID
-121.5129,44.5584,Sara2_NPP106,"Vicca et al. 2012;Luyssaert et al., 2007",1111,2008,2008,2008,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12722.870201662949,11.76122869658705,404.48133646334463,0.8035360596854972,0.3619493437028526,39.96651121970585,11.29862864140314,97.14336878649314,151.25569710051033,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID624
-121.5096,44.5384,Sara2_NPP105,"Vicca et al. 2012;Luyssaert et al., 2007",1105,2008,2008,2008,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12719.720070094962,11.782599807199613,404.29895739521015,0.804009432673027,0.3626161453512441,39.84813637840939,11.282736269759514,97.07241891940728,150.99656471252547,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID625
-121.5051,44.5592,Sara2_NPP102,"Vicca et al. 2012;Luyssaert et al., 2007",1096,2007,2007,2007,2007,7,NA,14,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12708.588144339366,11.803367159814297,403.8901098073861,0.8037970055522088,0.36344468858651136,39.72712431438393,11.274394499960508,96.9198801366733,150.6371608791852,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID626
-121.5031,44.5602,Sara2_NPP104,"Vicca et al. 2012;Luyssaert et al., 2007",1100,2007,2007,2007,2007,9,NA,13,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12712.993350937055,11.792346303076735,404.0713301329779,0.8038684575701889,0.36265581852582246,39.738257985992085,11.275565780194693,96.94013834218555,150.8136122843012,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID627
-121.5024,44.5799,Sara2_NPP37,"Vicca et al. 2012;Luyssaert et al., 2007",909,2007,2007,2007,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12512.29648607846,12.315421776944538,395.8866774189867,0.8032219780333179,0.39059786188443474,37.963679600202475,11.104917245958648,94.98928890879316,142.68331157270484,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID628
-121.4938,44.5649,Sara2_NPP93,"Vicca et al. 2012;Luyssaert et al., 2007",1077,2007,2007,2007,2007,28,NA,29,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12690.19253358069,11.855804392718792,403.1391952093212,0.8041105992226067,0.36515345778419184,39.40799417203965,11.243493501042845,96.61528617067658,149.8601896682518,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID629
-121.493,44.5339,Sara2_NPP83,"Vicca et al. 2012;Luyssaert et al., 2007",1033,2008,2008,2008,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12648.178988024745,11.983662807710362,401.3408413347239,0.8045394835191775,0.37187441394972126,38.98178876948074,11.195474388314539,96.19687539426029,147.96695712560523,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID630
-121.485,44.257,Sara2_NPP72,"Vicca et al. 2012;Luyssaert et al., 2007",983,2002,2002,2002,2002,NA,NA,0,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,62.565,NA,NA,NA,NA,12627.82594999564,12.177811100923766,399.8475493546367,0.8085548232434333,0.38332396997090373,38.60349034816444,11.093080749972737,96.02210444582713,145.66238376559966,0.14663691818714142,0.3037264943122864,0.4503634124994278,ID631
-121.433,44.2471,Sara2_NPP58,"Vicca et al. 2012;Luyssaert et al., 2007",955,2014,2014,2014,2014,10,NA,11,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,52.794,NA,0.18941546387847105,NA,NA,12672.822871055723,12.383801571727817,400.2904442041019,0.8167979438427737,0.394477539620713,38.20113808623768,10.984549906510003,94.78145830489564,144.16697408243294,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID632
-121.3676,44.2031,Sara2_NPP77,"Vicca et al. 2012;Luyssaert et al., 2007",1009,2014,2014,2014,2014,7,NA,10,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,52.646,NA,0.13296356798237283,NA,NA,12748.528523849433,12.25070979534117,403.26832199020544,0.8212938455584585,0.3782702058383156,37.570984742863494,10.91666148466209,94.56711914810572,146.64084483332726,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID633
-121.3435,44.264,Sara2_NPP67,"Vicca et al. 2012;Luyssaert et al., 2007",976,2014,2014,2014,2014,9,NA,9,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,64.25,NA,0.14007782101167315,NA,NA,12644.27638630769,12.204539142619641,400.44627093636103,0.8140757806343588,0.3695926037496784,36.60539897663142,10.918797962830876,94.37016435166285,145.75820865277814,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID634
-121.333,44.2974,Sara2_NPP49,"Vicca et al. 2012;Luyssaert et al., 2007",930,2014,2014,2014,2014,2,NA,9,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,52.179,NA,0.038329596197704055,NA,NA,12593.527268423864,12.322123727056649,398.4520499703497,0.8137329067791962,0.3751150788812211,36.10874441552326,10.885925420458491,93.68833142836968,143.84473163988062,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID635
-121.33,44.29,Juniper,"Vicca et al. 2012;Luyssaert et al., 2007",930,1992,1992,1992,1992,30,NA,30,NA,NA,60,81,141,NA,0.4,0.18126924692201818,302,NA,Forest,Sara Vicca,NA,NA,NA,NA,NA,NA,NA,12594.785191135546,12.323661589740418,398.48528461761504,0.8139395745558461,0.3749570541269708,36.07670134327651,10.881544587958993,93.66435888829608,143.84782159367148,0.14338673651218414,0.29564139246940613,0.43902812898159027,ID636
-121.3275,44.3113,Sara2_NPP38,"Vicca et al. 2012;Luyssaert et al., 2007",910,2014,2014,2014,2014,9,NA,7,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,35.386,NA,0.25433787373537553,NA,NA,12571.782345773108,12.373452801131098,397.5958668938885,0.8136620913197569,0.3773400448674493,35.871474800627276,10.870436571104435,93.37666710335792,143.01498919746484,0.14783748984336853,0.3044489026069641,0.45228639245033264,ID637
-121.28,39.25,US-Sfr-D01_C,Chuo et al 2008 Global Change Biology,345,2004,2007,2004,2007,219.6,NA,NA,NA,NA,219.6,82.9125,302.5125,NA,NA,NA,NA,NA,Grassland,Matteo Campioli,NA,NA,NA,NA,NA,NA,NA,15318.748893152502,19.56838566358326,483.23855088733933,1.3682876990962773,0.36981179117778074,31.02258171931034,8.90448070477254,77.01934258163907,111.39397419957014,0.08896446228027344,0.32943306118249893,0.41839752346277237,ID203
-121.28,39.25,US-Sfr-D01_I,Chuo et al 2008 Global Change Biology,345,2004,2007,2004,2007,294.6375,NA,NA,NA,NA,294.6375,80.4375,375.075,NA,NA,NA,NA,NA,Grassland,Matteo Campioli,NA,NA,NA,NA,NA,NA,NA,15318.748893152502,19.56838566358326,483.23855088733933,1.3682876990962773,0.36981179117778074,31.02258171931034,8.90448070477254,77.01934258163907,111.39397419957014,0.08896446228027344,0.32943306118249893,0.41839752346277237,ID204
-121.106,40.6456,Sara2_NPP205,"Vicca et al. 2012;Luyssaert et al., 2007",1727,2004,2004,2004,2004,221,NA,80,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,42.112,NA,5.247910334346504,NA,NA,15080.80445778881,12.918194553042175,475.5601680712029,1.0839539685072679,0.3111490715717997,45.464337337006164,10.222782647290698,82.68663552030273,164.42128735938772,0.07042131572961807,0.2713865339756012,0.34180784970521927,ID638
-121.0992,40.6308,Sara2_NPP204,"Vicca et al. 2012;Luyssaert et al., 2007",1727,2004,2004,2004,2004,130,NA,90,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,50.166666666666664,NA,2.5913621262458473,NA,NA,15084.929543997216,12.927108007708688,475.6702420031314,1.0847712396568063,0.31109590986351543,45.51598136164376,10.223924884263536,82.64535687926362,164.36724653988875,0.07042131572961807,0.2713865339756012,0.34180784970521927,ID639
-121.0853,40.6119,Sara2_NPP208,"Vicca et al. 2012;Luyssaert et al., 2007",1770,2004,2004,2004,2004,55,NA,160,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,50.175,NA,1.0961634280019932,NA,NA,15100.64049258326,12.724436137494168,476.1301509520298,1.0743890235146742,0.3076831317543641,45.66085704608695,10.254159273445609,82.60066395527707,166.0885349096589,0.07042131572961807,0.2713865339756012,0.34180784970521927,ID640
-121.0671,40.6089,Sara2_NPP212,"Vicca et al. 2012;Luyssaert et al., 2007",1909,2004,2004,2004,2004,80,NA,70,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,54.674285714285716,NA,1.4632107023411371,NA,NA,15135.839339069273,12.035291766735607,477.1968762241984,1.0378178993968574,0.29659801484406145,45.895263273522914,10.346464834193227,82.59770120378691,171.8660719435113,0.07042131572961807,0.2713865339756012,0.34180784970521927,ID641
-121.0538,40.6107,Sara2_NPP214,"Vicca et al. 2012;Luyssaert et al., 2007",2018,2004,2004,2004,2004,35,NA,120,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,59.91833333333334,NA,0.5841283969847848,NA,NA,15163.210223170421,11.493301304445588,478.0243320952256,1.009127653742346,0.28753508929638516,46.00530553921439,10.416467361971637,82.57723771433469,176.41839719206615,0.07042131572961807,0.2713865339756012,0.34180784970521927,ID642
-120.7527,39.1093,Sara2_NPP143,"Vicca et al. 2012;Luyssaert et al., 2007",1257,2005,2005,2005,2005,37,NA,60,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,40.76,NA,0.9077526987242395,NA,NA,15578.915276793767,16.003456457453883,489.7483303919464,1.2372276609924333,0.3630040722087771,46.92107381328654,9.931440110500027,82.78162193056984,141.04294349284143,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID643
-120.7498,39.0683,Sara2_NPP132,"Vicca et al. 2012;Luyssaert et al., 2007",1223,2005,2005,2005,2005,0,NA,250,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,39.5325,NA,0,NA,NA,15487.332684083967,16.25580976170264,491.81306175073564,1.2653854772944284,0.3445129141535058,42.50116742942228,9.686695362804677,82.34791595230257,140.00921942540225,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID644
-120.749,39.0785,Sara2_NPP123,"Vicca et al. 2012;Luyssaert et al., 2007",1182,2005,2005,2005,2005,21,NA,90,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,41.5925,NA,0.5048987197211036,NA,NA,15483.617000622966,16.41764824425202,491.66168186747336,1.2718708010824626,0.3459707896909044,41.927807204778276,9.642690485213906,82.09256052188306,138.6590248394778,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID645
-120.7483,39.1104,Sara2_NPP137,"Vicca et al. 2012;Luyssaert et al., 2007",1233,2005,2005,2005,2005,46,NA,93,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,Forest,Sara Vicca,NA,NA,50.230000000000004,NA,0.9157873780609197,NA,NA,15481.745122588163,16.209225332077466,491.63467858904954,1.2638185252950436,0.3443359601369733,42.74334843846289,9.694640339498722,82.32235952448613,140.35421691916162,0.08793517202138901,0.2659531831741333,0.3538883551955223,ID646
